titulo,data,diario_pdf
Diário Oficial Nº01D (13-01-2022) - Extra,13/01/2022 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3513/arquivos/file_202201131810Mahu.pdf
Diário Oficial Nº02 (14-01-2022),14/01/2022 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3514/arquivos/file_202201141826HnnW.pdf
Diário Oficial Nº03 (21-01-2022),21/01/2022 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3536/arquivos/file_202201221440Y8dc.pdf
Diário Oficial Nº03B (25-01-2022) - Extra,25/01/2022 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3568/arquivos/file_202201311041T4VW.pdf
Diário Oficial Nº04 (28-01-2022),28/01/2022 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3564/arquivos/file_202201281757WNga.pdf
Diário Oficial Nº50B (23-12-2021) - Extra,23/12/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3482/arquivos/file_202201121149WZ20.pdf
Diário Oficial Nº51C (30-12-2021) - Extra,30/12/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3483/arquivos/file_202201131712L75r.pdf
Diário Oficial Nº52 (31-12-2021),31/12/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3475/arquivos/file_202112311812AVeX.pdf
Diário Oficial Nº01 (03-01-2022) Especial,03/01/2022 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3476/arquivos/file_202201031820kCIN.pdf
Diário Oficial Nº02 (04-01-2022) Especial,04/01/2022 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3477/arquivos/file_202201051804TotY.pdf
Diário Oficial Nº45A (17-11-2021) - Extra,17/11/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3479/arquivos/file_2022011211428jYw.pdf
Diário Oficial Nº46 (19-11-2021),19/11/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3480/arquivos/file_202201121143tSi2.pdf
Diário Oficial Nº46B (25-11-2021) - Extra,25/11/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3481/arquivos/file_2022011211488Ay1.pdf
Diário Oficial Nº50 (17-12-2021),17/12/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3466/arquivos/file_202112241902p9RI.pdf
Diário Oficial Nº50A (22-12-2021) - Extra,23/12/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3467/arquivos/file_202112241903l0oC.pdf
Diário Oficial Nº41C (20-10-2021) - Extra,20/10/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3279/arquivos/file_202111041102rbsN.pdf
Diário Oficial Nº42 (22-10-2021),22/10/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3306/arquivos/file_202110271326rxse.pdf
Diário Oficial Nº42A (26-10-2021) - Extra,26/10/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3307/arquivos/file_202110271326D289.pdf
Diário Oficial Nº43 (29-10-2021),29/10/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3331/arquivos/file_202110301040TmUQ.pdf
Diário Oficial Nº44 (05-11-2021),05/11/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3332/arquivos/file_202111091558lHCY.pdf
Diário Oficial Nº39A (05-10-2021) - Extra,05/10/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3241/arquivos/file_202110052026pZ5c.pdf
Diário Oficial Nº40A (14-10-2021) - Extra,14/10/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3269/arquivos/file_202110151014CQf5.pdf
Diário Oficial Nº41B (19-10-2021) - Extra,19/10/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3278/arquivos/file_202110201904QOO1.pdf
Diário Oficial Nº38C (29-09-2021) - Extra,29/09/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3322/arquivos/file_202110291247LC3I.pdf
Diário Oficial Nº39  (01-10-2021),01/10/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3228/arquivos/file_202110012003TkBt.pdf
Diário Oficial Nº36A (13-09-2021) - Extra,13/09/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3149/arquivos/file_202109141039Io5p.pdf
Diário Oficial Nº37 (17-09-2021),17/09/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3156/arquivos/file_202109201715oEP5.pdf
Diário Oficial Nº37A (20-09-2021) - Extra,20/09/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3157/arquivos/file_2021092017169rSR.pdf
Diário Oficial Nº37C (23-09-2021) - Extra,23/09/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3159/arquivos/file_202109240956h05f.pdf
Diário Oficial Nº38A (27-09-2021) - Extra,27/09/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3233/arquivos/file_202110041854yL9w.pdf
Diário Oficial Nº32B (19-08-2021) - Extra,19/08/2021 às 18:31,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3055/arquivos/file_202108191843APKQ.pdf
Diário Oficial Nº33 (20-08-2021),20/08/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3056/arquivos/file_202108202159w676.pdf
Diário Oficial Nº34A (02-09-2021) - Extra,02/09/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3111/arquivos/file_202109061455tSrM.pdf
Diário Oficial Nº35A (06-09-2021) - Extra,06/09/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3112/arquivos/file_202109071054YPoc.pdf
Diário Oficial Nº36 (10-09-2021),10/09/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3145/arquivos/file_202109132008AMrI.pdf
Diário Oficial Nº31 (06-08-2021),06/08/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3018/arquivos/file_202108091439bXtB.pdf
Diário Oficial Nº31A (09-08-2021) - Extra,09/08/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3023/arquivos/file_202108120908mQSC.pdf
Diário Oficial Nº31B (10-08-2021) - Extra,10/08/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3024/arquivos/file_2021081209107WOD.pdf
Diário Oficial Nº32 (13-08-2021),13/08/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3036/arquivos/file_202108161529DSYs.pdf
Diário Oficial Nº32A (17-08-2021) - Extra,17/08/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3037/arquivos/file_202108171822DVFG.pdf
Diário Oficial Nº26 (02-07-2021),02/07/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2876/arquivos/file_202107021717cplx.pdf
Diário Oficial Nº26A (06-07-2021) - Extra,06/07/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2878/arquivos/file_202107061426GL1U.pdf
Diário Oficial Nº28A (21-07-2021) - Extra,21/07/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2950/arquivos/file_202107232022mvrf.pdf
Diário Oficial Nº29B (28-07-2021) - Extra,28/07/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/3071/arquivos/file_202108251109GmAE.pdf
Diário Oficial Nº30 (30-07-2021),30/07/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2981/arquivos/file_202107301752DBKB.pdf
Diário Oficial Nº22A (07-06-2021) - Extra,07/06/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2797/arquivos/file_202106081051Y561.pdf
Diário Oficial Nº22C (10-06-2021) - Extra,10/06/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2934/arquivos/file_202107191022NFPf.pdf
Diário Oficial Nº24 (18-06-2021),18/06/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2822/arquivos/file_202106181644OqOQ.pdf
Diário Oficial Nº25A (30-06-2021) - Extra,30/06/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2856/arquivos/file_202107011022E0uB.pdf
Diário Oficial Nº25B (01-07-2021) - Extra,01/07/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2877/arquivos/file_202107051231aT1E.pdf
Diário Oficial Nº16A (26-04-2021) - Extra,26/04/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2679/arquivos/file_202104262011dS3I.pdf
Diário Oficial Nº18 (07-05-2021),07/05/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2708/arquivos/file_202105071753Kz5t.pdf
Diário Oficial Nº18A (12-05-2021) - Extra,12/05/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2738/arquivos/file_202105182010ZK8L.pdf
Diário Oficial Nº20 (21-05-2021),21/05/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2739/arquivos/file_202105211816EFXP.pdf
Diário Oficial Nº22 (04-06-2021),04/06/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2793/arquivos/file_20210604173992ps.pdf
Diário Oficial Nº14 (09-04-2021),09/04/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2657/arquivos/file_202104151529YhDc.pdf
Diário Oficial Nº05 (10-04-2021) Especial,10/04/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/documentos/2651/arquivos/file_202104100953qjZU.pdf
Diário Oficial Nº06 (18-04-2021) - Especial,18/04/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2658/arquivos/file_202104181610dJTe.pdf
Diário Oficial Nº15B (20-04-2021) - Extra,20/04/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2667/arquivos/file_202104211109QgTL.pdf
Diário Oficial Nº16 (23-04-2021),23/04/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2678/arquivos/file_202104262003G9gH.pdf
Diário Oficial Nº12 (26-03-2021),26/03/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2629/arquivos/file_202103271447yf8Y.pdf
Diário Oficial Nº12A (29-03-2021)- Extra,29/03/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2636/arquivos/file_2021033117552m6W.pdf
Diário Oficial Nº12C (31-03-2021)- Extra,31/03/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2639/arquivos/file_202104121212TXHr.pdf
Diário Oficial Nº13 (02-04-2021),02/04/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2640/arquivos/file_202104021607Aahz.pdf
Diário Oficial Nº13C (08-04-2021),08/04/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2649/arquivos/file_202104091133K23p.pdf
Diário Oficial Nº08B (02-03-2021)- Extra,02/03/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2595/arquivos/file_202103030930mdG4.pdf
Diário Oficial Nº09 (05-03-2021),05/03/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2617/arquivos/file_202103162148qcvz.pdf
Diário Oficial Nº12A (15-03-2021)- Extra,15/03/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2619/arquivos/file_202103162219Pevu.pdf
Diário Oficial Nº12B (16-03-2021)- Extra,16/03/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2620/arquivos/file_202103162230WsyX.pdf
Diário Oficial Nº11A (22-03-2021)- Extra,22/03/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2628/arquivos/file_202103231941qw6O.pdf
Diário Oficial Nº05 (05-02-2021),05/02/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2564/arquivos/file_202102051845DQBL.pdf
Diário Oficial Nº05C (11-02-2021)- Extra,11/02/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2570/arquivos/file_2021031620458fbW.pdf
Diário Oficial Nº07B (23-02-2021)- Extra,23/02/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2618/arquivos/file_2021031620073bZ5.pdf
Diário Oficial Nº07D (25-02-2021)- Extra,25/02/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2591/arquivos/file_202102281431Anmi.pdf
Diário Oficial Nº08 (26-02-2021),26/02/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2589/arquivos/file_2021022620071BFH.pdf
Diário Oficial Nº03 (06-01-2021) Especial,06/01/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2537/arquivos/file_202101191512JH7K.pdf
Diário Oficial Nº02A (18-01-2021)- Extra,19/01/2021 às 09:55,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2542/arquivos/file_202101190956SLRB.pdf
Diário Oficial Nº03C (27-01-2021)- Extra,27/01/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2553/arquivos/file_202101281745yOyP.pdf
Diário Oficial Nº04 (29-01-2021),29/01/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2555/arquivos/file_202101291816nRI5.pdf
Diário Oficial Nº04A (01-02-2021)- Extra,01/02/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2562/arquivos/file_202102031200ydmZ.pdf
Diário Oficial Nº51C (23-12-2020) - Extra,23/12/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2526/arquivos/file_202012231914L2WM.pdf
Diário Oficial Nº52A (30-12-2020) - Extra,30/12/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2530/arquivos/file_202012301907bat3.pdf
Diário Oficial Nº53 (31-12-2020),31/12/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2531/arquivos/file_2021010217236bS6.pdf
Diário Oficial Nº01 (04-01-2021) Especial,04/01/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2532/arquivos/file_202101061832FHnc.pdf
Diário Oficial Nº02 (05-01-2021) Especial,05/01/2021 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2535/arquivos/file_202101071558sdsq.pdf
Diário Oficial Nº03 (12-12-2020) - Especial,12/12/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2515/arquivos/file_202012131001OvQh.pdf
Diário Oficial Nº50B (17-12-2020) - Extra,17/12/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2521/arquivos/file_202012181210zHg1.pdf
Diário Oficial Nº51 (18-12-2020),18/12/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2522/arquivos/file_2020121819289za9.pdf
Diário Oficial Nº51A (21-12-2020) - Extra,21/12/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2524/arquivos/file_202012211815o5iQ.pdf
Diário Oficial Nº51B (22-12-2020) - Extra,22/12/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2525/arquivos/file_202012231854TCWk.pdf
Diário Oficial Nº48A (01-12-2020) - Extra,01/12/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2502/arquivos/file_202012021713p3MG.pdf
Diário Oficial Nº48B (02-11-2020) - Extra,02/12/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2507/arquivos/file_202012041524nLus.pdf
Diário Oficial Nº49 (04-12-2020),04/12/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2509/arquivos/file_202101071519m2PM.pdf
Diário Oficial Nº49A (09-12-2020) - Extra,09/12/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2510/arquivos/file_202012101050IBj0.pdf
Diário Oficial Nº50 (11-12-2020),11/12/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2514/arquivos/file_202102031015qldT.pdf
Diário Oficial Nº43A (26-10-2020) - Extra,26/10/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2475/arquivos/file_202010271602QXsh.pdf
Diário Oficial Nº44 (30-10-2020),30/10/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2477/arquivos/file_202011060951JaCN.pdf
Diário Oficial Nº45A (09-11-2020) - Extra,09/11/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2488/arquivos/file_2020111021360kWP.pdf
Diário Oficial Nº48B (24-11-2020) - Extra,24/11/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2495/arquivos/file_202012011838b2w3.pdf
Diário Oficial Nº02 (30-11-2020) - Especial,30/11/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2500/arquivos/file_202012011933t27M.pdf
Diário Oficial Nº39C (01-10-2020) - Extra,01/10/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2472/arquivos/file_202010160904dJcP.pdf
Diário Oficial Nº40A (05-10-2020) - Extra,05/10/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2467/arquivos/file_202010051807HpFm.pdf
Diário Oficial Nº41A (13-10-2020) - Extra,13/10/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2471/arquivos/file_202010151321BYsB.pdf
Diário Oficial Nº41B (14-10-2020) - Extra,14/10/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2470/arquivos/file_2020101513066zmA.pdf
Diário Oficial Nº42A (21-10-2020) - Extra,21/10/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2474/arquivos/file_202010221753SwN1.pdf
Diário Oficial Nº34 (21-08-2020),21/08/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2461/arquivos/file_202009041141SrPL.pdf
Diário Oficial Nº34C (27-08-2020) - Extra,27/08/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2457/arquivos/file_202008271645zQRc.pdf
Diário Oficial Nº35 (28-08-2020),28/08/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2459/arquivos/file_202009031305cDll.pdf
Diário Oficial Nº38 (18-09-2020),18/09/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2463/arquivos/file_202009210919NAFp.pdf
Diário Oficial Nº38A (23-09-2020) - Extra,23/09/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2466/arquivos/file_202009231707wKSD.pdf
Diário Oficial Nº29C (22-07-2020) - Extra,22/07/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2419/arquivos/file_202007301053kM1A.pdf
Diário Oficial Nº30 (24-07-2020),24/07/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2435/arquivos/file_202007241917RbwI.pdf
Diário Oficial Nº30D (30-07-2020) - Extra,30/07/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2441/arquivos/file_202008011240MBQx.pdf
Diário Oficial Nº31 (31-07-2020),31/07/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2442/arquivos/file_202008011252dPzK.pdf
Diário Oficial Nº32 (07-08-2020),07/08/2020 às 00:00,https://www.remigio.pb.gov.br/storage/content/publicacoes/diario-oficial/2446/arquivos/file_202008080846cOZg.pdf
